state,state_name,county,NAME,population_size,percent_65plus,count_65plus,CODE
46,Vermont,45,"Edmunds County, South Dakota",4018,21.47834744,863,VT
48,Washington,11,"Armstrong County, Texas",1943,21.46165723,417,WA
8,Delaware,95,"Phillips County, Colorado",4371,21.45962022,938,DE
37,Oklahoma,41,"Chowan County, North Carolina",14656,21.45878821,3145,OK
17,Kansas,123,"Marshall County, Illinois",12173,21.44910868,2611,KS
23,Michigan,13,"Knox County, Maine",39723,21.44601364,8519,MI
40,Rhode Island,127,"Pushmataha County, Oklahoma",11226,21.44129699,2407,RI
48,Washington,125,"Dickens County, Texas",2281,21.4379658,489,WA
8,Delaware,33,"Dolores County, Colorado",1862,21.42857143,399,DE
19,Louisiana,131,"Mitchell County, Iowa",10762,21.42724401,2306,LA
5,California,117,"Prairie County, Arkansas",8402,21.4234706,1800,CA
5,California,51,"Garland County, Arkansas",96954,21.41943602,20767,CA
19,Louisiana,93,"Ida County, Iowa",7071,21.41139867,1514,LA
20,Maine,25,"Clark County, Kansas",2145,21.3986014,459,ME
12,Hawaii,29,"Dixie County, Florida",16091,21.39705425,3443,HI
30,New Hampshire,59,"Meagher County, Montana",1898,21.39093783,406,NH
31,New Jersey,11,"Boone County, Nebraska",5373,21.36608971,1148,NJ
39,Pennsylvania,111,"Monroe County, Ohio",14547,21.35148141,3106,PA
38,Oregon,27,"Eddy County, North Dakota",2370,21.35021097,506,OR
20,Maine,27,"Clay County, Kansas",8421,21.33950837,1797,ME
30,New Hampshire,91,"Sheridan County, Montana",3630,21.32231405,774,NH
48,Washington,45,"Briscoe County, Texas",1670,21.31736527,356,WA
26,Missouri,35,"Clare County, Michigan",30710,21.3155324,6546,MO
20,Maine,77,"Harper County, Kansas",5861,21.31035659,1249,ME
19,Louisiana,29,"Cass County, Iowa",13590,21.30978661,2896,LA
33,New York,7,"Coos County, New Hampshire",31870,21.2990273,6788,NY
23,Michigan,29,"Washington County, Maine",32191,21.282346,6851,MI
41,South Carolina,25,"Harney County, Oregon",7229,21.27541845,1538,SC
27,Montana,77,"Lake of the Woods County, Minnesota",3949,21.2712079,840,MT
20,Maine,101,"Lane County, Kansas",1674,21.26642772,356,ME
36,Ohio,25,"Delaware County, New York",46901,21.26607109,9974,OH
56,Wyoming,27,"Niobrara County, Wyoming",2516,21.26391097,535,WY
31,New Jersey,31,"Cherry County, Nebraska",5770,21.24783362,1226,NJ
55,Wyoming,75,"Marinette County, Wisconsin",41287,21.23670889,8768,WY
30,New Hampshire,105,"Valley County, Montana",7577,21.22211957,1608,NH
19,Louisiana,83,"Hardin County, Iowa",17393,21.22118093,3691,LA
37,Oklahoma,75,"Graham County, North Carolina",8700,21.20689655,1845,OK
53,Wyoming,29,"Island County, Washington",79329,21.20535996,16822,WY
51,Wyoming,89,"Henry County, Virginia",52580,21.19817421,11146,WY
39,Pennsylvania,123,"Ottawa County, Ohio",41162,21.1821583,8719,PA
51,Wyoming,83,"Halifax County, Virginia",35506,21.1738861,7518,WY
29,Nevada,79,"Grundy County, Missouri",10256,21.16809672,2171,NV
